GEOID,year,force,employed,unemployed,rate
13055,2010,10671,9425,1246,11.7
13057,2010,112578,102687,9891,8.8
13059,2010,56637,51361,5276,9.3
13061,2010,1101,973,128,11.6
13063,2010,125156,108243,16913,13.5
13065,2010,2900,2579,321,11.1
13067,2010,380297,344871,35426,9.3
13069,2010,17202,14484,2718,15.8
13071,2010,21316,19247,2069,9.7
13073,2010,61522,57027,4495,7.3
13075,2010,7885,6966,919,11.7
13077,2010,64319,58095,6224,9.7
13079,2010,5769,5109,660,11.4
13081,2010,9208,7901,1307,14.2
13083,2010,8348,7624,724,8.7
13085,2010,10966,9771,1195,10.9
13087,2010,12446,10897,1549,12.4
13089,2010,363001,323687,39314,10.8
13091,2010,8361,7271,1090,13
13093,2010,4960,4386,574,11.6
13095,2010,41490,36281,5209,12.6
13097,2010,66575,59108,7467,11.2
13099,2010,4478,3953,525,11.7
13101,2010,1876,1722,154,8.2
13103,2010,25777,23310,2467,9.6
13105,2010,8934,7605,1329,14.9
13107,2010,9118,7946,1172,12.9
13109,2010,4769,4336,433,9.1
13111,2010,10271,9070,1201,11.7
13113,2010,52927,48564,4363,8.2
13115,2010,45087,39750,5337,11.8
13117,2010,88343,81251,7092,8
13119,2010,9698,8468,1230,12.7
13121,2010,485002,434315,50687,10.5
13123,2010,12811,11366,1445,11.3
13125,2010,1324,1178,146,11
13127,2010,38340,34508,3832,10
13129,2010,26068,22749,3319,12.7
13131,2010,10399,9309,1090,10.5
13133,2010,6412,5567,845,13.2
13135,2010,418368,379794,38574,9.2
13137,2010,18347,16390,1957,10.7
13139,2010,86546,78205,8341,9.6
13141,2010,3104,2393,711,22.9
13143,2010,12385,10866,1519,12.3
13145,2010,16415,15149,1266,7.7
13147,2010,10959,9697,1262,11.5
13149,2010,5249,4615,634,12.1
13151,2010,101141,90686,10455,10.3
13153,2010,67099,61422,5677,8.5
13155,2010,3674,3135,539,14.7
13157,2010,28656,25660,2996,10.5
13159,2010,6873,6069,804,11.7
13161,2010,6372,5557,815,12.8
13163,2010,7158,6151,1007,14.1
13165,2010,3229,2738,491,15.2
13167,2010,4240,3781,459,10.8
13169,2010,13698,12366,1332,9.7
13171,2010,8160,6998,1162,14.2
13173,2010,3872,3464,408,10.5
13175,2010,20599,17879,2720,13.2
13177,2010,14345,13047,1298,9
13179,2010,26927,24493,2434,9
13181,2010,3679,3256,423,11.5
13183,2010,6231,5706,525,8.4
13185,2010,51019,46120,4899,9.6
13187,2010,14711,13184,1527,10.4
13189,2010,9447,8204,1243,13.2
13191,2010,6289,5625,664,10.6
13193,2010,5383,4672,711,13.2
13195,2010,13374,11984,1390,10.4
13197,2010,3723,3326,397,10.7
13199,2010,9336,8054,1282,13.7
13201,2010,2803,2512,291,10.4
13205,2010,9646,8602,1044,10.8
13207,2010,12551,11273,1278,10.2
13209,2010,3876,3411,465,12
13211,2010,8630,7729,901,10.4
13213,2010,17181,14812,2369,13.8
13215,2010,81718,73484,8234,10.1
13217,2010,47977,41899,6078,12.7
13219,2010,16837,15635,1202,7.1
13221,2010,7079,6396,683,9.6
13223,2010,73735,66352,7383,10
13225,2010,12918,11359,1559,12.1
13227,2010,14045,12505,1540,11
13229,2010,8245,7387,858,10.4
13231,2010,8505,7599,906,10.7
13233,2010,18690,16444,2246,12
13235,2010,4530,4112,418,9.2
13237,2010,9053,7883,1170,12.9
13239,2010,1006,905,101,10
13241,2010,7141,6298,843,11.8
13243,2010,2979,2616,363,12.2
13245,2010,87887,78209,9678,11
13247,2010,41960,37210,4750,11.3
13249,2010,2165,1903,262,12.1
13251,2010,5804,4818,986,17
13253,2010,3383,2959,424,12.5
13255,2010,28669,24409,4260,14.9
13257,2010,11892,10429,1463,12.3
13259,2010,2402,2154,248,10.3
13261,2010,14262,12370,1892,13.3
13263,2010,2875,2585,290,10.1
13265,2010,634,520,114,18
13267,2010,9678,8802,876,9.1
13269,2010,3255,2784,471,14.5
13271,2010,5234,4462,772,14.7
13273,2010,3917,3439,478,12.2
13275,2010,17884,15874,2010,11.2
13277,2010,18784,16537,2247,12
13279,2010,12303,10792,1511,12.3
13281,2010,4341,3783,558,12.9
13283,2010,2945,2589,356,12.1
13285,2010,32546,28788,3758,11.5
13287,2010,3530,2944,586,16.6
13289,2010,3265,2760,505,15.5
13291,2010,9502,8456,1046,11
13293,2010,11932,10471,1461,12.2
13295,2010,30980,27788,3192,10.3
13297,2010,41037,36667,4370,10.6
13299,2010,15561,13847,1714,11
13301,2010,2657,2200,457,17.2
13303,2010,8124,6943,1181,14.5
13305,2010,12377,10886,1491,12
13307,2010,1043,909,134,12.8
13309,2010,1937,1644,293,15.1
13311,2010,12902,11589,1313,10.2
13313,2010,47639,41978,5661,11.9
13315,2010,2935,2570,365,12.4
13317,2010,4017,3486,531,13.2
13319,2010,3842,3303,539,14
13321,2010,9781,8597,1184,12.1
15001,2010,87774,79112,8662,9.9
15003,2010,446189,419631,26558,6
15007,2010,34321,31317,3004,8.8
15009,2010,78966,72223,6743,8.5
16001,2010,196945,180585,16360,8.3
16003,2010,1861,1516,345,18.5
16005,2010,41095,37813,3282,8
16007,2010,2884,2670,214,7.4
16009,2010,4209,3636,573,13.6
16011,2010,22848,21201,1647,7.2
16013,2010,11949,10808,1141,9.5
16015,2010,3048,2726,322,10.6
16017,2010,19497,16981,2516,12.9
16019,2010,49099,45683,3416,7
16021,2010,5368,4648,720,13.4
16023,2010,1352,1254,98,7.2
16025,2010,643,561,82,12.8
16027,2010,84738,75198,9540,11.3
16029,2010,3841,3541,300,7.8
16031,2010,11114,10327,787,7.1
16033,2010,537,487,50,9.3
16035,2010,3423,2922,501,14.6
16037,2010,2295,2107,188,8.2
16039,2010,11395,10411,984,8.6
16041,2010,6195,5868,327,5.3
16043,2010,6746,6162,584,8.7
16045,2010,7681,6803,878,11.4
16047,2010,8496,7862,634,7.5
16049,2010,6654,5824,830,12.5
16051,2010,12611,11721,890,7.1
16053,2010,11005,10119,886,8.1
16055,2010,68859,61345,7514,10.9
16057,2010,19282,18002,1280,6.6
16059,2010,3775,3390,385,10.2
16061,2010,1571,1466,105,6.7
16063,2010,2709,2355,354,13.1
16065,2010,17485,16546,939,5.4
16067,2010,10468,9691,777,7.4
16069,2010,20088,18744,1344,6.7
16071,2010,2007,1886,121,6
16073,2010,5051,4839,212,4.2
16075,2010,11145,10067,1078,9.7
16077,2010,3872,3515,357,9.2
16079,2010,5488,4615,873,15.9
16081,2010,5447,5019,428,7.9
16083,2010,36865,33718,3147,8.5
16085,2010,4693,3957,736,15.7
16087,2010,4726,4238,488,10.3
17001,2010,34905,32208,2697,7.7
17003,2010,2971,2622,349,11.7
17005,2010,8535,7678,857,10
17007,2010,27437,23648,3789,13.8
17009,2010,2586,2406,180,7
17011,2010,19167,17097,2070,10.8
17013,2010,2499,2248,251,10
17015,2010,8544,7654,890,10.4
17017,2010,7011,6430,581,8.3
17019,2010,108977,100035,8942,8.2
17021,2010,17211,15469,1742,10.1
17023,2010,8321,7348,973,11.7
17025,2010,6826,6054,772,11.3
17027,2010,20550,19051,1499,7.3
17029,2010,25672,23153,2519,9.8
17031,2010,2643831,2356470,287361,10.9
17033,2010,10388,9500,888,8.5
