GEOID,year,gini,earn,home,rent,pct_white,pct_black,household_size,median_age,education,pct_foreign,pct_foreign_lat,pct_moved_dom,pct_moved_int,unemployment,population,density
50017,2016,0.4081,27803,191700,824,96.59134166176419,0.5329272934906737,2.3482041280676094,45.4,12.987507353704537,1.9413779977160257,0.1764889088832751,3.62667404920926,0.23877911201854862,4.304220643543669,28897,16.1288675904558
53075,2012,0.5218,13651,186400,683,85.22568171211414,2.015689934884548,2.7397101802240624,24.1,12.63862035246794,9.529524190501588,0,14.300953396893126,1.0000666711114075,6.306433408577878,44997,7.97760996182884
53075,2013,0.5251,13515,182300,697,84.6743715943048,2.0390226753383724,2.737728585178056,24,12.506591668131481,9.43487431886096,0.013183336262963613,15.413517314114959,1.1513447002988222,6.251468860164512,45512,8.06891536286317
53075,2014,0.5241,13558,179700,695,84.12712214420799,2.0824728822033345,2.678642133457552,24,11.97313218703128,9.786318283590202,0.01086885637893181,16.80759950438015,1.2825250527139536,7.748362697168158,46003,8.15596575491727
53075,2015,0.5105,14154,181800,NA,83.58260050923252,2.1546098380298266,2.6861888614288176,24.2,12.337120482701073,9.562017245437234,0.9136230395618034,16.633502364293815,1.6624943834649206,8.930371149379956,46737,8.2860981128963
53075,2016,0.4966,15276,188100,719,83.0273297679707,2.025519012927949,2.76368926389293,24.2,12.338400640080852,9.898092390617762,1.1517244283488441,17.566429443719205,1.7770665768307574,9.14877034984413,47494,8.42030818781472
53065,2012,0.4132,22885,178000,634,89.93287047680353,0.41381212929330086,2.4667120335715094,45.1,8.922249298818336,3.2921053841555934,0.013793737643110027,5.947399880454274,0.31035909696997566,10.411482145957521,43498,6.60810606419249
53065,2013,0.4119,22980,173500,659,90.0397582331717,0.5538574678831614,2.4605858403076226,45.4,8.76289844414313,3.148484360995565,0.045963275343000945,6.671569416036586,0.3975823317169581,11.185094328602302,43513,6.61038482622668
53065,2014,0.4104,23471,171900,670,89.60749638271973,0.49149077880618275,2.4702711902870758,45.7,8.111894536184286,2.9213844422498334,0.04823040352770952,7.112836177396018,0.6361819893893113,9.91225990040313,43541,6.61463851535715
53065,2015,0.4206,NA,172600,672,89.17745935519427,0.48911545880407825,2.4632614966909894,46.2,7.545696702489208,2.950766969780472,0.4914117755120786,7.43776981721319,0.5534123266280886,9.340426818209298,43548,6.61570193763977
53065,2016,0.4161,23230,174800,674,88.92876737381127,0.45720555961960496,2.507969269579177,46.4,8.14740307242136,2.8735369422092174,0.5623628383321141,6.837509144111192,0.4937820043891734,8.739588437040666,43744,6.64547776155309
51031,2012,0.4111,23463,146800,635,82.66145956895451,14.486194499698888,2.539131643575367,41.4,8.168330383050167,1.7738197346570068,0,4.321404456448346,0.018249174224866327,7.175270527091494,54797,41.6859435753995
51031,2013,0.4135,24602,150300,685,82.34395182564084,13.861043899066713,2.524432809773124,41.7,8.281332435825131,1.7919842814779776,0.13462623028362472,4.107919297032765,0.010915640293266868,7.37752835262481,54967,41.8152683633955
51031,2014,0.4216,24707,151000,727,82.0673681906881,13.754490908759323,2.523610088365243,42.3,8.75385260700673,2.3015337479255193,0.14225010486385936,3.95382342749804,0.08024364889756168,6.428459366175086,54833,41.7133300010928
51031,2015,0.4246,25323,151500,725,81.80033447247872,13.978768268741366,2.5245284750585104,42.4,8.674471024503745,2.326765069439395,0.6980295208318185,4.455391550934341,0.08543590489347778,5.480407736134258,55012,41.8495013955121
51031,2016,0.4308,26065,152600,722,81.49325293765098,14.013548609723761,2.469767650488921,42.8,9.451335791213381,2.6170974010642745,0.875392746226912,4.053685911988522,0.10170538130437153,4.121517027863777,55061,41.8867773638169
46093,2012,0.4114,25629,160500,650,91.14943431803897,0.8170961659333752,2.5397585553227575,36.1,10.264770584538025,1.3277812696417348,0,5.637177875549969,0.3889063482086738,3.6586389191910715,25456,2.81897768424057
46093,2013,0.4204,26155,157100,728,90.97784981091303,1.4432353168171645,2.5700684320142813,35.8,9.620282472794628,1.4934012502894187,0.057883769391062746,4.63070155128502,0.6174268735046693,3.3979777888281117,25914,2.86969624879832
46093,2014,0.4263,27314,158100,770,90.49333537612992,1.574230121035698,2.548613822725498,35.8,10.460395281139881,1.5435881722077525,0.07277462846637046,4.8797303508503145,0.6588018998008274,3.032055518836748,26108,2.89117965823981
